"IP","Submission ID","Submission Date","Location","Age","Gender","Job Type","Income","Marital Status","How do you plan your Trip","How frequently do you travel for leisure or tourism purposes in a year?","What types of destinations do you prefer for your leisure travels?","What is the average duration of your typical leisure trip?","How do you prefer traveling?","What type of accommodation do you usually prefer during your travels?","What are your next travel destination?"
"93.212.98.183","5753628153818365290","2023-11-09 19:13:35","Germany","25-34","Male","Full-time","25,001 - $50,000","Single","By Yourself","Twice a year","Urban Cities","A few days","with Friends","Airbnb","France"
"95.88.61.10","5752416560116746280","2023-11-08 09:34:16","Germany","18-24","Female","Student","Under $25,000","Single","By Yourself","Several times per year","Beach/Coastal Resorts","1 Week","with Friends","Airbnb","Turkey"
"91.64.38.180","5752037450819179770","2023-11-07 23:02:26","Spain","35-44","Male","Full-time","25,001 - $50,000","Single","By Yourself","Several times per year","Urban Cities","A few days","with Friends","Airbnb","Turkey"
"92.72.33.65","5751947695631558280","2023-11-07 20:32:49","Albania","25-34","Male","Part-time","Under $25,000","Married","By Yourself","Once a year","Urban Cities","A few days","With Family","others","Albania"
"158.181.69.242","5751909142423042457","2023-11-07 19:28:34","Germany","45 - 54","Female","Part-time","Under $25,000","Widowed","By Yourself","More than once a month","Urban Cities","A few days","with Friends","others","Montenegro"
"78.55.44.57","5751078047542416503","2023-11-06 20:23:24","Germany","Less than 18","Male","Student","Under $25,000","Single","By Yourself","Twice a year","Beach/Coastal Resorts","2 Weeks","with Friends","Hotels","Morocco"
"91.65.28.105","5750767085018815158","2023-11-06 11:45:08","Germany","55 - 64","Female","Part-time","Under $25,000","Married","By Yourself","Once a year","Beach/Coastal Resorts","A few days","With Family","Airbnb","Spain"
"88.215.91.219","5750738229125397484","2023-11-06 10:57:02","Germany","35-44","Female","Student","Under $25,000","Married","By Yourself","Several times per year","Beach/Coastal Resorts","2 Weeks","With Family","Airbnb",""
"213.58.220.126","5750724246217988659","2023-11-06 10:33:44","United States","25-34","Female","Unemployed","","Single","By Yourself","Several times per year","Urban Cities","A few days","with Friends","Airbnb","United States"
"89.14.80.69","5750250819608820277","2023-11-05 21:24:41","Germany","35-44","Male","Full-time","25,001 - $50,000","Single","By Yourself","Several times per year","Beach/Coastal Resorts","1 Week","With Family","others","Senegal"
